locus_tag	ftype	length_bp	gene	EC_number	COG	product
MEIMHKMB_00332	CDS	981				hypothetical protein
MEIMHKMB_00333	CDS	300				hypothetical protein
MEIMHKMB_00334	CDS	1215				hypothetical protein
MEIMHKMB_00335	CDS	1380				hypothetical protein
MEIMHKMB_00336	CDS	1434	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
MEIMHKMB_00337	CDS	1467	gatA_1	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
MEIMHKMB_00338	CDS	297	gatC_1	6.3.5.-		Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit C
MEIMHKMB_00339	CDS	1236				hypothetical protein
MEIMHKMB_00340	CDS	1494	ligA_1	6.5.1.2	COG0272	DNA ligase
MEIMHKMB_00341	CDS	477	ligA_2	6.5.1.2	COG0272	DNA ligase
MEIMHKMB_00342	CDS	2382	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
MEIMHKMB_00343	CDS	909	cysK	2.5.1.47		Cysteine synthase
MEIMHKMB_00344	CDS	588	cysE	2.3.1.30	COG1045	Serine acetyltransferase
MEIMHKMB_00345	CDS	597				hypothetical protein
MEIMHKMB_00346	CDS	603				hypothetical protein
MEIMHKMB_00347	CDS	1407	ebgA_1	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
MEIMHKMB_00348	CDS	897	lacZ_1	3.2.1.23		Beta-galactosidase
MEIMHKMB_00349	CDS	780	lacZ_2	3.2.1.23		Beta-galactosidase
MEIMHKMB_00350	CDS	4566				hypothetical protein
MEIMHKMB_00351	CDS	831	yycJ_1	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
MEIMHKMB_00352	CDS	1311				hypothetical protein
MEIMHKMB_00353	CDS	627				hypothetical protein
MEIMHKMB_00354	CDS	522				hypothetical protein
MEIMHKMB_00355	CDS	693	tpiA_1			Triosephosphate isomerase
MEIMHKMB_00356	CDS	285				hypothetical protein
MEIMHKMB_00357	CDS	1323	gatC_2		COG3775	PTS system galactitol-specific EIIC component
MEIMHKMB_00358	CDS	468	gatA_2		COG1762	PTS system galactitol-specific EIIA component
MEIMHKMB_00359	CDS	1959	manR_1		COG1762	Transcriptional regulator ManR
	repeat_region	2893				
MEIMHKMB_00360	CDS	294	cas2_1	3.1.-.-		CRISPR-associated endoribonuclease Cas2
MEIMHKMB_00361	CDS	1026	cas1_1	3.1.-.-	COG1518	CRISPR-associated endonuclease Cas1
MEIMHKMB_00362	CDS	306				hypothetical protein
MEIMHKMB_00363	CDS	366				hypothetical protein
MEIMHKMB_00364	CDS	843				hypothetical protein
MEIMHKMB_00365	CDS	732				hypothetical protein
MEIMHKMB_00366	CDS	1191				hypothetical protein
MEIMHKMB_00367	CDS	498				hypothetical protein
MEIMHKMB_00368	CDS	2436				hypothetical protein
MEIMHKMB_00369	CDS	669				hypothetical protein
MEIMHKMB_00370	CDS	588	yjbK	3.6.1.-	COG4116	Putative triphosphatase YjbK
MEIMHKMB_00371	CDS	912				hypothetical protein
MEIMHKMB_00372	CDS	909				hypothetical protein
MEIMHKMB_00373	CDS	1176	galK_1	2.7.1.6	COG0153	Galactokinase
MEIMHKMB_00374	CDS	528	galT_1	2.7.7.12		Galactose-1-phosphate uridylyltransferase
MEIMHKMB_00375	CDS	411	galT_2	2.7.7.12		Galactose-1-phosphate uridylyltransferase
MEIMHKMB_00376	CDS	354	galT_3	2.7.7.12		Galactose-1-phosphate uridylyltransferase
MEIMHKMB_00377	CDS	558	dapL	2.6.1.83		LL-diaminopimelate aminotransferase
MEIMHKMB_00378	CDS	486	aspC_1	2.6.1.1	COG0436	Aspartate/prephenate aminotransferase
MEIMHKMB_00379	CDS	255				hypothetical protein
MEIMHKMB_00380	CDS	333				hypothetical protein
MEIMHKMB_00381	CDS	387	hydC		COG1969	Quinone-reactive Ni/Fe-hydrogenase B-type cytochrome subunit
MEIMHKMB_00382	CDS	429	hybD	3.4.23.-	COG0680	Hydrogenase 2 maturation protease
MEIMHKMB_00383	CDS	378				hypothetical protein
MEIMHKMB_00384	CDS	504				hypothetical protein
MEIMHKMB_00385	CDS	231				hypothetical protein
	repeat_region	697				
MEIMHKMB_00386	CDS	663	csn2			CRISPR-associated protein Csn2
MEIMHKMB_00387	CDS	345	cas2_2	3.1.-.-		CRISPR-associated endoribonuclease Cas2
MEIMHKMB_00388	CDS	867	cas1_2	3.1.-.-		CRISPR-associated endonuclease Cas1
