locus_tag	ftype	length_bp	gene	EC_number	COG	product
KIPHENGE_00066	CDS	354				hypothetical protein
KIPHENGE_00067	CDS	1035				hypothetical protein
KIPHENGE_00068	CDS	735				hypothetical protein
KIPHENGE_00069	CDS	381				hypothetical protein
KIPHENGE_00070	CDS	1299	htrA	3.4.21.107	COG0265	Serine protease Do-like HtrA
KIPHENGE_00071	CDS	975				hypothetical protein
KIPHENGE_00072	CDS	468	metN2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN 2
KIPHENGE_00073	CDS	288	phnC	7.3.2.1	COG3638	Phosphate-import ATP-binding protein PhnC
KIPHENGE_00074	CDS	825	phnE		COG3639	Phosphate-import permease protein PhnE
KIPHENGE_00075	CDS	810				hypothetical protein
KIPHENGE_00076	CDS	960				hypothetical protein
KIPHENGE_00077	CDS	687	ktrA		COG0569	Ktr system potassium uptake protein A
KIPHENGE_00078	CDS	1377	ktrB		COG0168	Ktr system potassium uptake protein B
KIPHENGE_00079	CDS	168	rlmH_1	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
KIPHENGE_00080	CDS	198	rlmH_2	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
KIPHENGE_00081	CDS	489				hypothetical protein
KIPHENGE_00082	CDS	678				hypothetical protein
KIPHENGE_00083	CDS	696				hypothetical protein
KIPHENGE_00084	CDS	489	lrp		COG1522	Leucine-responsive regulatory protein
KIPHENGE_00085	CDS	1185	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
KIPHENGE_00086	CDS	1794	pepF1_1	3.4.24.-		Oligoendopeptidase F, plasmid
KIPHENGE_00087	CDS	1554	cpdB	3.1.3.6	COG0737	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase
KIPHENGE_00088	CDS	1458	adeQ		COG2252	Adenine permease AdeQ
KIPHENGE_00089	CDS	741	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
KIPHENGE_00090	CDS	2178	yhgF_1		COG2183	Protein YhgF
KIPHENGE_00091	CDS	702	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
KIPHENGE_00092	CDS	240				hypothetical protein
KIPHENGE_00093	CDS	708				putative transcriptional regulatory protein
KIPHENGE_00094	CDS	600	desR		COG2197	Transcriptional regulatory protein DesR
KIPHENGE_00095	CDS	1107				hypothetical protein
KIPHENGE_00096	CDS	732				hypothetical protein
KIPHENGE_00097	CDS	897	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KIPHENGE_00098	CDS	687				hypothetical protein
KIPHENGE_00099	CDS	1206				hypothetical protein
KIPHENGE_00100	CDS	654	yigZ		COG1739	IMPACT family member YigZ
KIPHENGE_00101	CDS	873			COG1307	DegV domain-containing protein
KIPHENGE_00102	CDS	936	coaA	2.7.1.33	COG1072	Pantothenate kinase
KIPHENGE_00103	CDS	984	galK_1	2.7.1.6		Galactokinase
KIPHENGE_00104	CDS	993	thrB	2.7.1.39		Homoserine kinase
KIPHENGE_00105	CDS	1146		2.7.4.2		Phosphomevalonate kinase
KIPHENGE_00106	CDS	1074	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
KIPHENGE_00107	CDS	3966		3.2.1.97		Endo-alpha-N-acetylgalactosaminidase
KIPHENGE_00108	CDS	186				hypothetical protein
KIPHENGE_00109	CDS	1455				hypothetical protein
KIPHENGE_00110	tRNA	86				tRNA-Leu(gag)
KIPHENGE_00111	CDS	1551	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
KIPHENGE_00112	CDS	327				hypothetical protein
KIPHENGE_00113	CDS	798	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
KIPHENGE_00114	CDS	1053				hypothetical protein
KIPHENGE_00115	CDS	108				hypothetical protein
KIPHENGE_00116	CDS	192				hypothetical protein
KIPHENGE_00117	CDS	105				hypothetical protein
KIPHENGE_00118	CDS	411				hypothetical protein
KIPHENGE_00119	CDS	432				hypothetical protein
KIPHENGE_00120	CDS	291				hypothetical protein
KIPHENGE_00121	CDS	228				hypothetical protein
KIPHENGE_00122	CDS	612				hypothetical protein
KIPHENGE_00123	CDS	738		1.8.-.-	COG0502	[FeFe] hydrogenase maturase subunit HydE
KIPHENGE_00124	CDS	210				hypothetical protein
KIPHENGE_00125	CDS	669				hypothetical protein
KIPHENGE_00126	CDS	726				hypothetical protein
KIPHENGE_00127	CDS	420				hypothetical protein
KIPHENGE_00128	CDS	1272				hypothetical protein
KIPHENGE_00129	CDS	357				hypothetical protein
KIPHENGE_00130	CDS	387				hypothetical protein
KIPHENGE_00131	CDS	261				hypothetical protein
KIPHENGE_00132	CDS	213				hypothetical protein
KIPHENGE_00133	CDS	438				hypothetical protein
KIPHENGE_00134	CDS	147				hypothetical protein
KIPHENGE_00135	CDS	330				hypothetical protein
KIPHENGE_00136	CDS	1089				hypothetical protein
KIPHENGE_00137	CDS	144				hypothetical protein
KIPHENGE_00138	CDS	585				hypothetical protein
KIPHENGE_00139	CDS	522				hypothetical protein
KIPHENGE_00140	CDS	2202				hypothetical protein
KIPHENGE_00141	CDS	1257	radD	3.6.4.12	COG1061	Putative DNA repair helicase RadD
KIPHENGE_00142	tRNA	72				tRNA-Gln(ttg)
KIPHENGE_00143	CDS	438				hypothetical protein
KIPHENGE_00144	CDS	399				hypothetical protein
KIPHENGE_00145	CDS	891				hypothetical protein
KIPHENGE_00146	CDS	588				hypothetical protein
KIPHENGE_00147	CDS	327				hypothetical protein
KIPHENGE_00148	CDS	756				hypothetical protein
KIPHENGE_00149	CDS	687				hypothetical protein
KIPHENGE_00150	CDS	1188	dctA2		COG1301	C4-dicarboxylate transport protein 2
KIPHENGE_00151	CDS	1224	pepT_1	3.4.11.4	COG2195	Peptidase T
KIPHENGE_00152	CDS	303				hypothetical protein
KIPHENGE_00153	CDS	1971	kefB			Glutathione-regulated potassium-efflux system protein KefB
KIPHENGE_00154	CDS	2715	recD	3.1.11.5		RecBCD enzyme subunit RecD
KIPHENGE_00155	CDS	921				hypothetical protein
KIPHENGE_00156	CDS	816			COG0327	GTP cyclohydrolase 1 type 2 
KIPHENGE_00157	CDS	822				hypothetical protein
KIPHENGE_00158	CDS	516				hypothetical protein
KIPHENGE_00159	CDS	1182	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
KIPHENGE_00160	CDS	1176	mgl	4.4.1.11	COG0626	L-methionine gamma-lyase
KIPHENGE_00161	CDS	2847	lptD			LPS-assembly protein LptD
KIPHENGE_00162	CDS	1086				hypothetical protein
KIPHENGE_00163	CDS	759	dnaX	2.7.7.7	COG2812	DNA polymerase III subunit tau
KIPHENGE_00164	CDS	387				hypothetical protein
KIPHENGE_00165	CDS	381				hypothetical protein
KIPHENGE_00166	CDS	849				hypothetical protein
KIPHENGE_00167	CDS	1350	pyrC_1	3.5.2.3	COG0044	Dihydroorotase
KIPHENGE_00168	CDS	840	metH	2.1.1.13	COG0646	Methionine synthase
KIPHENGE_00169	CDS	1173	cpdA	3.1.4.53		3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
KIPHENGE_00170	CDS	813				hypothetical protein
KIPHENGE_00171	CDS	747	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
KIPHENGE_00172	CDS	303				hypothetical protein
KIPHENGE_00173	CDS	1362	dapE	3.5.1.18		Succinyl-diaminopimelate desuccinylase
KIPHENGE_00174	CDS	399				hypothetical protein
KIPHENGE_00175	CDS	324				hypothetical protein
KIPHENGE_00176	CDS	330				hypothetical protein
KIPHENGE_00177	CDS	933				hypothetical protein
KIPHENGE_00178	CDS	1467	mfd_1	3.6.4.-	COG1197	Transcription-repair-coupling factor
KIPHENGE_00179	CDS	1761	mfd_2	3.6.4.-		Transcription-repair-coupling factor
KIPHENGE_00180	tmRNA	399	ssrA			transfer-messenger RNA, SsrA
KIPHENGE_00181	CDS	681				hypothetical protein
KIPHENGE_00182	CDS	648				hypothetical protein
KIPHENGE_00183	CDS	1062				hypothetical protein
KIPHENGE_00184	CDS	432				hypothetical protein
KIPHENGE_00185	CDS	468				hypothetical protein
KIPHENGE_00186	CDS	1008	dnaG_1	2.7.7.-		DNA primase
KIPHENGE_00187	CDS	1275				hypothetical protein
KIPHENGE_00188	CDS	516				hypothetical protein
KIPHENGE_00189	CDS	291				hypothetical protein
KIPHENGE_00190	CDS	564				hypothetical protein
KIPHENGE_00191	CDS	414				hypothetical protein
KIPHENGE_00192	CDS	2451				hypothetical protein
KIPHENGE_00193	CDS	1050				hypothetical protein
KIPHENGE_00194	CDS	2781				hypothetical protein
KIPHENGE_00195	CDS	1473	mutL_1			DNA mismatch repair protein MutL
KIPHENGE_00196	CDS	1311	haeIIIM_2	2.1.1.37		Modification methylase HaeIII
KIPHENGE_00197	CDS	477				hypothetical protein
KIPHENGE_00198	CDS	738				IS3 family transposase ISSsp2
KIPHENGE_00199	CDS	426				hypothetical protein
KIPHENGE_00200	CDS	1215	xerC_2			Tyrosine recombinase XerC
KIPHENGE_00201	CDS	1230	xerC_3			Tyrosine recombinase XerC
KIPHENGE_00202	CDS	2238	btuB_1			Vitamin B12 transporter BtuB
KIPHENGE_00203	CDS	762				hypothetical protein
KIPHENGE_00204	CDS	609				hypothetical protein
KIPHENGE_00205	CDS	582				hypothetical protein
KIPHENGE_00206	CDS	990				hypothetical protein
KIPHENGE_00207	CDS	552				hypothetical protein
KIPHENGE_00208	CDS	2448	btuB_2			Vitamin B12 transporter BtuB
KIPHENGE_00209	CDS	1197				hypothetical protein
KIPHENGE_00210	CDS	1707				hypothetical protein
KIPHENGE_00211	CDS	741				hypothetical protein
KIPHENGE_00212	CDS	726				hypothetical protein
KIPHENGE_00213	CDS	2022	susB	3.2.1.3		Glucan 1,4-alpha-glucosidase SusB
KIPHENGE_00214	CDS	1524	susD			Starch-binding protein SusD
KIPHENGE_00215	CDS	2934	susC_1			TonB-dependent receptor SusC
KIPHENGE_00216	CDS	1212				hypothetical protein
KIPHENGE_00217	CDS	531				hypothetical protein
KIPHENGE_00218	CDS	3687	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
KIPHENGE_00219	CDS	471				hypothetical protein
KIPHENGE_00220	CDS	504				hypothetical protein
KIPHENGE_00221	CDS	888				hypothetical protein
KIPHENGE_00222	CDS	924				hypothetical protein
KIPHENGE_00223	CDS	852	pal			Peptidoglycan-associated lipoprotein
KIPHENGE_00224	CDS	1974				hypothetical protein
KIPHENGE_00225	CDS	690	ybhL_1		COG0670	Inner membrane protein YbhL
KIPHENGE_00226	rRNA	1524				16S ribosomal RNA
KIPHENGE_00227	tRNA	76				tRNA-Ile(gat)
KIPHENGE_00228	tRNA	75				tRNA-Ala(tgc)
KIPHENGE_00229	CDS	993	hgdH	1.1.1.399	COG1052	(R)-2-hydroxyglutarate dehydrogenase
KIPHENGE_00230	CDS	852		3.1.3.-		Putative phosphatase
KIPHENGE_00231	CDS	951	gmuF_1	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
KIPHENGE_00232	CDS	612	rsmC_1	2.1.1.172	COG2813	Ribosomal RNA small subunit methyltransferase C
KIPHENGE_00233	CDS	1962				hypothetical protein
KIPHENGE_00234	tRNA	71				tRNA-Glu(ttc)
KIPHENGE_00235	CDS	564				hypothetical protein
KIPHENGE_00236	CDS	564				hypothetical protein
KIPHENGE_00237	tRNA	71				tRNA-Glu(ttc)
KIPHENGE_00238	CDS	564				hypothetical protein
KIPHENGE_00239	CDS	2250				hypothetical protein
KIPHENGE_00240	CDS	3207				hypothetical protein
KIPHENGE_00241	CDS	1827				hypothetical protein
KIPHENGE_00242	CDS	330				hypothetical protein
KIPHENGE_00243	CDS	258				hypothetical protein
KIPHENGE_00244	CDS	3189				hypothetical protein
KIPHENGE_00245	CDS	5901				hypothetical protein
KIPHENGE_00246	CDS	1575				hypothetical protein
KIPHENGE_00247	CDS	771				hypothetical protein
KIPHENGE_00248	CDS	231				hypothetical protein
KIPHENGE_00249	CDS	222				hypothetical protein
KIPHENGE_00250	CDS	270				hypothetical protein
KIPHENGE_00251	CDS	3618				hypothetical protein
KIPHENGE_00252	CDS	393				hypothetical protein
KIPHENGE_00253	CDS	255				hypothetical protein
KIPHENGE_00254	CDS	258				hypothetical protein
KIPHENGE_00255	CDS	243				hypothetical protein
KIPHENGE_00256	CDS	483				hypothetical protein
KIPHENGE_00257	CDS	636				hypothetical protein
KIPHENGE_00258	CDS	666				hypothetical protein
KIPHENGE_00259	CDS	630				hypothetical protein
KIPHENGE_00260	CDS	264				hypothetical protein
KIPHENGE_00261	CDS	315				hypothetical protein
KIPHENGE_00262	CDS	1530	bbmA_1	3.2.1.-	COG0366	Intracellular maltogenic amylase
KIPHENGE_00263	CDS	255				hypothetical protein
KIPHENGE_00264	CDS	282	glgE_1	2.4.99.16		Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
KIPHENGE_00265	CDS	1077	glgE_2	2.4.99.16		Alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase
KIPHENGE_00266	CDS	1251	mdxE		COG2182	Maltodextrin-binding protein MdxE
KIPHENGE_00267	CDS	1308				hypothetical protein
KIPHENGE_00268	CDS	852	malG		COG3833	Maltose/maltodextrin transport system permease protein MalG
KIPHENGE_00269	CDS	447				hypothetical protein
KIPHENGE_00270	CDS	273				hypothetical protein
KIPHENGE_00271	CDS	438				hypothetical protein
KIPHENGE_00272	CDS	786	srlR_1		COG1349	Glucitol operon repressor
KIPHENGE_00273	CDS	1068	ulaG	3.1.1.-	COG2220	putative L-ascorbate-6-phosphate lactonase UlaG
KIPHENGE_00274	CDS	450	ulaC		COG1762	Ascorbate-specific PTS system EIIA component
KIPHENGE_00275	CDS	1494	ulaA_1		COG3037	Ascorbate-specific PTS system EIIC component
KIPHENGE_00276	CDS	288	ulaB_1	2.7.1.194		Ascorbate-specific PTS system EIIB component
KIPHENGE_00277	CDS	639	ulaD	4.1.1.85	COG0269	3-keto-L-gulonate-6-phosphate decarboxylase UlaD
KIPHENGE_00278	CDS	852	ulaE	5.1.3.22	COG3623	L-ribulose-5-phosphate 3-epimerase UlaE
KIPHENGE_00279	CDS	714	araD	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase AraD
KIPHENGE_00280	CDS	660				hypothetical protein
KIPHENGE_00281	CDS	663				hypothetical protein
KIPHENGE_00282	tRNA	74				tRNA-Arg(ccg)
KIPHENGE_00283	CDS	165				hypothetical protein
KIPHENGE_00284	CDS	1530	expZ		COG0488	Nucleotide-binding protein ExpZ
KIPHENGE_00285	CDS	444	hit		COG0537	Protein hit
KIPHENGE_00286	CDS	351				hypothetical protein
KIPHENGE_00287	CDS	792	prsA2	5.2.1.8	COG0760	Foldase protein PrsA 2
KIPHENGE_00288	CDS	546				hypothetical protein
KIPHENGE_00289	CDS	117				hypothetical protein
KIPHENGE_00290	CDS	576	comGA_1		COG2804	ComG operon protein 1
KIPHENGE_00291	CDS	531	comGA_2		COG2804	ComG operon protein 1
KIPHENGE_00292	CDS	1080				hypothetical protein
KIPHENGE_00293	CDS	339				hypothetical protein
KIPHENGE_00294	CDS	387				hypothetical protein
KIPHENGE_00295	CDS	333				hypothetical protein
KIPHENGE_00296	CDS	447				hypothetical protein
KIPHENGE_00297	CDS	690				hypothetical protein
KIPHENGE_00298	CDS	381	gloA	4.4.1.5	COG0346	Lactoylglutathione lyase
KIPHENGE_00299	CDS	408	cdd	3.5.4.5	COG0295	Cytidine deaminase
KIPHENGE_00300	CDS	123				hypothetical protein
KIPHENGE_00301	CDS	1632	manR_1		COG1762	Transcriptional regulator ManR
KIPHENGE_00302	CDS	438				hypothetical protein
KIPHENGE_00303	CDS	282	ulaB_2	2.7.1.194		Ascorbate-specific PTS system EIIB component
KIPHENGE_00304	CDS	1251	ulaA_2		COG3037	Ascorbate-specific PTS system EIIC component
KIPHENGE_00305	CDS	738				hypothetical protein
KIPHENGE_00306	CDS	1290				hypothetical protein
KIPHENGE_00307	CDS	1902	glgB	2.4.1.18		1,4-alpha-glucan branching enzyme GlgB
KIPHENGE_00308	CDS	1152	glgC	2.7.7.27	COG0448	Glucose-1-phosphate adenylyltransferase
KIPHENGE_00309	CDS	1152	glgD		COG0448	Glycogen biosynthesis protein GlgD
KIPHENGE_00310	CDS	1437	glgA	2.4.1.21	COG0297	Glycogen synthase
KIPHENGE_00311	CDS	2424	glgP_1	2.4.1.1	COG0058	Glycogen phosphorylase
KIPHENGE_00312	CDS	120				hypothetical protein
KIPHENGE_00313	CDS	1038				hypothetical protein
KIPHENGE_00314	CDS	573				hypothetical protein
KIPHENGE_00315	CDS	6135				hypothetical protein
KIPHENGE_00316	CDS	1212	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
KIPHENGE_00317	CDS	189				hypothetical protein
KIPHENGE_00318	CDS	2046	yxdM			ABC transporter permease protein YxdM
KIPHENGE_00319	CDS	759	yxdL		COG1136	ABC transporter ATP-binding protein YxdL
KIPHENGE_00320	CDS	993	graS	2.7.13.3		Sensor histidine kinase GraS
KIPHENGE_00321	CDS	687	graR		COG0745	Response regulator protein GraR
KIPHENGE_00322	CDS	201	cspL		COG1278	Cold shock protein 2
KIPHENGE_00323	CDS	357	crcB		COG0239	Putative fluoride ion transporter CrcB
KIPHENGE_00324	CDS	930				hypothetical protein
KIPHENGE_00325	CDS	879	ackA_1	2.7.2.1	COG0282	Acetate kinase
KIPHENGE_00326	CDS	342	ackA_2	2.7.2.1	COG0282	Acetate kinase
KIPHENGE_00327	CDS	1641	ptsG	2.7.1.199		PTS system glucose-specific EIICBA component
KIPHENGE_00328	CDS	837	mapP	3.1.3.90		Maltose 6'-phosphate phosphatase
KIPHENGE_00329	CDS	663				hypothetical protein
KIPHENGE_00330	CDS	639				hypothetical protein
KIPHENGE_00331	CDS	603				hypothetical protein
KIPHENGE_00332	CDS	606				hypothetical protein
KIPHENGE_00333	CDS	264				hypothetical protein
KIPHENGE_00334	CDS	561				hypothetical protein
KIPHENGE_00335	CDS	1239				TelA-like protein
KIPHENGE_00336	CDS	486				hypothetical protein
KIPHENGE_00337	CDS	162				hypothetical protein
KIPHENGE_00338	CDS	582	act	3.-.-.-		Methanol dehydrogenase activator
KIPHENGE_00339	CDS	510				hypothetical protein
KIPHENGE_00340	CDS	516	mtnN_1	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
KIPHENGE_00341	CDS	186	mtnN_2	3.2.2.9	COG0775	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
KIPHENGE_00342	CDS	549	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
KIPHENGE_00343	CDS	609	rpsD		COG0522	30S ribosomal protein S4
KIPHENGE_00344	CDS	216				hypothetical protein
KIPHENGE_00345	CDS	426				hypothetical protein
KIPHENGE_00346	CDS	642				hypothetical protein
KIPHENGE_00347	CDS	423	pglK	7.5.2.5	COG1132	Protein glycosylation K
KIPHENGE_00348	CDS	1602	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KIPHENGE_00349	CDS	744	COQ3	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
KIPHENGE_00350	CDS	345	rnhC_1	3.1.26.4		Ribonuclease HIII
KIPHENGE_00351	CDS	291	rnhC_2	3.1.26.4	COG1039	Ribonuclease HIII
KIPHENGE_00352	CDS	381	rnhC_3	3.1.26.4	COG1039	Ribonuclease HIII
KIPHENGE_00353	CDS	432	rnhC_4	3.1.26.4		Ribonuclease HIII
KIPHENGE_00354	CDS	912	yicL		COG0697	putative inner membrane transporter YicL
KIPHENGE_00355	CDS	339	zapA			Cell division protein ZapA
KIPHENGE_00356	CDS	564				hypothetical protein
KIPHENGE_00357	CDS	2355	mutS2	3.1.-.-		Endonuclease MutS2
KIPHENGE_00358	CDS	312	trxA		COG0526	Thioredoxin
KIPHENGE_00359	CDS	720	atpB		COG0356	ATP synthase subunit a
KIPHENGE_00360	CDS	216	atpE_1			ATP synthase subunit c
KIPHENGE_00361	CDS	513	atpF		COG0711	ATP synthase subunit b
KIPHENGE_00362	CDS	558	atpD_1			ATP synthase subunit delta
KIPHENGE_00363	CDS	1116	atpA_1	7.1.2.2	COG0056	ATP synthase subunit alpha
KIPHENGE_00364	CDS	408	atpA_2	7.1.2.2	COG0056	ATP synthase subunit alpha
KIPHENGE_00365	CDS	942	atpG		COG0224	ATP synthase gamma chain
KIPHENGE_00366	CDS	675	atpD_2	7.1.2.2	COG0055	ATP synthase subunit beta
KIPHENGE_00367	CDS	834	atpD_3	7.1.2.2	COG0055	ATP synthase subunit beta
KIPHENGE_00368	CDS	447	atpC		COG0355	ATP synthase epsilon chain
KIPHENGE_00369	CDS	678	sapB		COG1285	Protein SapB
KIPHENGE_00370	CDS	633				hypothetical protein
KIPHENGE_00371	CDS	2643	valS	6.1.1.9		Valine--tRNA ligase
KIPHENGE_00372	CDS	501				hypothetical protein
KIPHENGE_00373	CDS	828	fpgS	6.3.2.17		Folylpolyglutamate synthase
KIPHENGE_00374	CDS	204	cspLA		COG1278	Cold shock-like protein CspLA
KIPHENGE_00375	CDS	696				hypothetical protein
KIPHENGE_00376	CDS	1023	mreB		COG1077	Cell shape-determining protein MreB
KIPHENGE_00377	CDS	837	mreC		COG1792	Cell shape-determining protein MreC
KIPHENGE_00378	CDS	543	mreD		COG2891	Rod shape-determining protein MreD
KIPHENGE_00379	CDS	444				hypothetical protein
KIPHENGE_00380	CDS	732	opuCA		COG1125	Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA
KIPHENGE_00381	CDS	1518				hypothetical protein
KIPHENGE_00382	CDS	309	rplU		COG0261	50S ribosomal protein L21
KIPHENGE_00383	CDS	345				hypothetical protein
KIPHENGE_00384	CDS	672	mrdB	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
KIPHENGE_00385	CDS	549	ftsW	2.4.1.129		peptidoglycan glycosyltransferase FtsW
KIPHENGE_00386	CDS	384				hypothetical protein
KIPHENGE_00387	CDS	243	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
KIPHENGE_00388	CDS	312				hypothetical protein
KIPHENGE_00389	CDS	510	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
KIPHENGE_00390	CDS	801	ymdB	3.1.4.16	COG1692	2',3'-cyclic-nucleotide 2'-phosphodiesterase
KIPHENGE_00391	CDS	2583	mutS		COG0249	DNA mismatch repair protein MutS
KIPHENGE_00392	CDS	1224	mutL_2			DNA mismatch repair protein MutL
KIPHENGE_00393	CDS	729	mutL_3			DNA mismatch repair protein MutL
KIPHENGE_00394	CDS	438	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
KIPHENGE_00395	CDS	588	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
KIPHENGE_00396	CDS	1029	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
KIPHENGE_00397	CDS	1035	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
KIPHENGE_00398	CDS	354				hypothetical protein
KIPHENGE_00399	CDS	1446	gndA	1.1.1.44	COG0362	6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating
KIPHENGE_00400	CDS	1692	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
KIPHENGE_00401	CDS	210				hypothetical protein
